mean,mean,std,std,ref,ref,3,4,5,6,7,8,9,10,11,12,13,14,15,mc_avg,mc_std,mc_err,measured
2.039286031591357684e+00,-5.579114041222389409e-01,2.311222764145385966e+00,1.754253995669148303e+00,3.500000000000000000e+00,5.500000000000000000e+00,4.052331837168011042e+00,5.735697980767273663e+00,5.467059251685794763e+00,5.869057297166078158e+00,5.905712071156728804e+00,5.922717843714933927e+00,5.903393637225801349e+00,5.932888217202863856e+00,5.892966182180838786e+00,5.933780576918938898e+00,5.895447295534643750e+00,5.928441416910228412e+00,5.899762792783048937e+00,5.912820231343235200e+00,1.091282396000154975e+01,1.091282396000154975e-01,3.992455819999999989e+00
3.164638108451216514e-01,2.746857170703970397e+00,5.910213740722409792e-01,3.250457163234197644e+00,3.500000000000000000e+00,5.500000000000000000e+00,8.372827432034155581e-01,9.540286535269395518e-01,1.177749649600287274e+00,1.097439787260842792e+00,1.209998439166008799e+00,1.162054867430882599e+00,1.159777433701202343e+00,1.187146794470551381e+00,1.113247622836300854e+00,1.194990107549712466e+00,1.072538504682001959e+00,1.196188049074189408e+00,1.095598859384835588e+00,1.156422518800745314e+00,2.116140733430712739e+00,2.116140733430712725e-02,2.323825875999999901e+00
1.178306789832028301e+00,-7.114288470043182988e-01,2.070708431971246544e+00,7.262815535000906486e+00,3.500000000000000000e+00,5.500000000000000000e+00,6.692335572213460537e+00,1.002748040542823560e+01,9.160752132464324404e+00,1.013842399905278313e+01,9.794258265358575244e+00,1.016917792597255499e+01,9.816653611686925629e+00,1.016065241652533757e+01,9.895014811692536938e+00,1.013510633714478182e+01,9.937495197973879257e+00,1.010239514039325570e+01,9.992242775060416804e+00,9.980808692838929019e+00,1.793424716015407938e+01,1.793424716015407927e-01,1.039444652999999974e+01
5.588884963771370007e-01,-4.076132099897455952e-01,1.714581808564850540e+00,1.012081490075856571e+00,3.500000000000000000e+00,5.500000000000000000e+00,4.806890490312071051e+00,6.353286948694229608e+00,5.968571233446579249e+00,6.313763640501008467e+00,6.313028882813753739e+00,6.289533168307317901e+00,6.336239648308115591e+00,6.280209861950881489e+00,6.339021649764301714e+00,6.279862766298636600e+00,6.333286302858938122e+00,6.279725405584044573e+00,6.326714461375405385e+00,6.239832449843401463e+00,7.223106863061458327e+00,7.223106863061458383e-02,6.114789241999999625e+00
2.266457015016487109e+00,3.536046259569300076e+00,3.547641421467052414e+00,1.781572395255558661e+00,3.500000000000000000e+00,5.500000000000000000e+00,6.959213320042161310e-01,1.034138057306762448e+00,1.214516730266913536e+00,1.000468922723881882e+00,1.344601149986593525e+00,1.089245173206659700e+00,1.302466806466031857e+00,1.148401034266063103e+00,1.277774040663452348e+00,1.186142539167579057e+00,1.262765977872215784e+00,1.207085346837650119e+00,1.248838097487197318e+00,1.219451644692412629e+00,3.543894021410749495e+00,3.543894021410749773e-02,1.370479691999999972e+00
9.047201241894520241e-02,3.488439053946766677e+00,1.770468371662586859e+00,6.878368617054325895e+00,3.500000000000000000e+00,5.500000000000000000e+00,3.694440566231005807e+00,6.549142156508971802e+00,5.778604457884938483e+00,6.292670047301832881e+00,6.420049706378427423e+00,6.138814764478398800e+00,6.479210327525809276e+00,6.108733409297690820e+00,6.479991954966560108e+00,6.172269104237132709e+00,6.465483921244995713e+00,6.218325722494334684e+00,6.452484483004669258e+00,6.195086214999983909e+00,1.201520269285973974e+01,1.201520269285974024e-01,7.226749138999999822e+00
1.613671884872992734e+00,-7.424196124579046652e-01,1.435509089191423060e+00,3.257971638085396471e+00,3.500000000000000000e+00,5.500000000000000000e+00,3.499810937397988653e+00,4.675903697565468420e+00,4.349548063832777700e+00,4.766645200981333375e+00,4.644499964931006808e+00,4.772546126887430518e+00,4.682620254467778409e+00,4.737601871601535564e+00,4.711883328146429406e+00,4.714359651273811735e+00,4.728532645835960224e+00,4.708279481171977920e+00,4.734097581567395352e+00,4.778588352540247719e+00,7.642013783213965183e+00,7.642013783213964795e-02,4.518561844999999799e+00
2.058860501588109404e+00,3.833182415125421016e+00,2.370572539766910403e+00,3.720343025047213370e+00,3.500000000000000000e+00,5.500000000000000000e+00,5.377874670665512280e-01,5.312034886010539303e-01,8.013072320861024389e-01,7.443691091275309590e-01,8.590172251814591764e-01,8.332804992404245770e-01,7.965441157234163239e-01,8.588630366438767538e-01,7.631572874134235906e-01,8.636716188688802198e-01,7.671518926984659537e-01,8.579795652618502633e-01,7.775642729089257132e-01,8.675568297893554437e-01,3.194918199823487015e+00,3.194918199823486987e-02,1.368603806999999950e+00
2.283130332615842750e+00,3.550717966961283167e+00,1.506160866205856985e+00,1.895776060871630975e+00,3.500000000000000000e+00,5.500000000000000000e+00,4.792184597883946129e-01,5.522334823208203680e-01,4.541785891454845348e-01,6.234409510170193514e-01,5.740512854091071038e-01,6.298336934678182564e-01,5.864215989780374727e-01,6.211434812186577004e-01,5.913982805264111908e-01,6.161963934214658156e-01,6.002766975049267373e-01,6.094973057829096152e-01,6.054639223969386919e-01,5.985260286407286801e-01,2.525329260749479499e+00,2.525329260749479415e-02,1.951307193000000051e-01
-4.351505085989684218e-01,1.169339038423356625e+00,5.210809393420993141e-01,2.104087927064577812e+00,3.500000000000000000e+00,5.500000000000000000e+00,5.030523113163594573e+00,6.058432389701777332e+00,6.001464179203364502e+00,6.081370491962082347e+00,6.267005263968386863e+00,6.113824551232373672e+00,6.262345980523805089e+00,6.156932219909295512e+00,6.255526632644108354e+00,6.184113138430944900e+00,6.247953156827715127e+00,6.200601807203627303e+00,6.240277474320622630e+00,6.221311046200021622e+00,7.014262272123080955e+00,7.014262272123081288e-02,5.469851696000000096e+00
2.382107166744712234e+00,2.964501300839365250e+00,2.892882121736096712e-01,3.453923246775413847e-01,3.500000000000000000e+00,5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.979984381407690789e-16,3.108508436719329033e-16,-1.353744108980901155e-17,1.841507452017007956e-09,3.427470387186423640e-07,3.212022701443772621e-07,1.247242219148352414e-07,1.883934394072806942e-07,3.365453895499237352e-07,2.373918243735788084e-07,1.793731255343371336e-07,1.540101379760017140e-16,5.599980361332685902e-16,5.599980361332685533e-18,1.218245557999999988e-10
8.190889684823294825e-01,3.260460507500735794e+00,8.757950263329070673e-01,5.072501712235734317e+00,3.500000000000000000e+00,5.500000000000000000e+00,1.280149215083503655e+00,1.661290263527085420e+00,1.918405953557679844e+00,1.567050129874817621e+00,2.036135546906793437e+00,1.699507651694378119e+00,2.005818144827805405e+00,1.776365875263162586e+00,1.971095347467887615e+00,1.831742418009329576e+00,1.936207193669334803e+00,1.870137529578759672e+00,1.904780516656795486e+00,1.826717093822078475e+00,3.881347171400448826e+00,3.881347171400448964e-02,2.946907941000000086e+00
2.352351488853727357e+00,2.913143449151708531e+00,1.775101310920385478e+00,4.377074340141899000e+00,3.500000000000000000e+00,5.500000000000000000e+00,1.749799627757318149e-02,2.075271394502987143e-01,1.494762980461069590e-01,1.159478205465496320e-01,1.977668365938746176e-01,1.102795451774177676e-01,1.928772602575609119e-01,1.181992635587262308e-01,1.854738616463035283e-01,1.306632264543973743e-01,1.766223358380244191e-01,1.399938991869305038e-01,1.690293794817953610e-01,1.504436434929680710e-01,7.312042983810511654e-01,7.312042983810511723e-03,1.401446983999999896e+00
5.101693688800934545e-01,-4.613213438733955174e-01,3.641943581916699202e+00,4.447346613178452479e+00,3.500000000000000000e+00,5.500000000000000000e+00,8.767961071227951209e+00,1.291463990184043809e+01,1.163559615919491996e+01,1.303216809848297153e+01,1.261597451071600240e+01,1.303037901631878981e+01,1.273016325149664851e+01,1.295439572449142318e+01,1.276609720727713437e+01,1.295433268165088236e+01,1.276719312261208472e+01,1.296847272107068250e+01,1.275057301150158295e+01,1.315527289992775550e+01,2.180719177723043956e+01,2.180719177723043911e-01,1.324453510999999928e+01
-2.600615844082330708e-01,2.386534105184324517e+00,1.298540790347093798e+00,3.533451209020656236e+00,3.500000000000000000e+00,5.500000000000000000e+00,5.413830660680712725e+00,7.777475327897406920e+00,7.342600073131077210e+00,7.828309750330849859e+00,7.965657374956990111e+00,7.921564919722022147e+00,7.979557305308854431e+00,7.951191083603296406e+00,7.969718667379602550e+00,7.966153846135811456e+00,7.953124314359715896e+00,7.974179685497896131e+00,7.934743390480909930e+00,8.055502919892362002e+00,1.368650094931152772e+01,1.368650094931152805e-01,5.078029785000000018e+00
8.403211416458544747e-02,1.666665030771274925e-01,8.119307192406732820e-01,2.269659578963945989e+00,3.500000000000000000e+00,5.500000000000000000e+00,4.474823293325989049e+00,6.024581580426340288e+00,5.471324397651441629e+00,6.032251215358053642e+00,5.775108151952886182e+00,6.019879731748052798e+00,5.818846767685974086e+00,5.996825790405201140e+00,5.844570320227878923e+00,5.980543831881816708e+00,5.860965202658889872e+00,5.971685699097964317e+00,5.871666919654119354e+00,5.933501136347504534e+00,6.165321588111411621e+00,6.165321588111411649e-02,6.072878689999999580e+00
1.640281113964392468e+00,4.013886361915562695e+00,4.405831962331212992e+00,5.115554337530959117e+00,3.500000000000000000e+00,5.500000000000000000e+00,2.459832905827396665e+00,5.119907085307509043e+00,4.412128839718259421e+00,5.262536019241691676e+00,5.003436060798315488e+00,5.315785116482659944e+00,4.985656234992821290e+00,5.301503954932087481e+00,4.966488380814395143e+00,5.276312695126835095e+00,4.964708134814515006e+00,5.247669332558793087e+00,4.983335584202334800e+00,5.119366570597915000e+00,1.420585365769130526e+01,1.420585365769130581e-01,4.665998521999999760e+00
2.448286489535038690e+00,-3.148144984591780826e-01,4.327284403055617013e+00,3.813740205729268862e+00,3.500000000000000000e+00,5.500000000000000000e+00,4.603723014994531404e+00,7.775703295221312317e+00,7.045285080859905236e+00,7.629452501827808319e+00,7.790703997058004759e+00,7.595526466349035388e+00,7.852418542822058534e+00,7.562501833049573463e+00,7.862965165789227662e+00,7.564418298017581144e+00,7.854135676464330196e+00,7.588399471698538790e+00,7.836237391449467182e+00,7.866446583669900683e+00,1.642465085189676799e+01,1.642465085189676877e-01,8.056187784000000462e+00
4.498171118608862429e-01,2.602784017430759711e+00,2.773194458192746126e+00,1.109337871108064810e+00,3.500000000000000000e+00,5.500000000000000000e+00,1.647257950360931922e+00,3.227610921707894320e+00,2.537939150576940861e+00,3.165319046996921681e+00,2.823542692278429023e+00,3.128116898633759302e+00,2.883869759786011677e+00,3.091568361725992364e+00,2.919253014728368179e+00,3.066782761443099581e+00,2.940047068702313915e+00,3.051978323660255121e+00,2.953727197383835712e+00,3.005853601684489895e+00,5.064015574882982484e+00,5.064015574882982373e-02,3.001379201000000219e+00
-1.051195763210077128e-01,-4.287849461998004541e-01,1.141210870709996605e+00,3.418766106504206981e+00,3.500000000000000000e+00,5.500000000000000000e+00,7.394242346672854183e+00,9.408491706034636692e+00,8.813588996102266648e+00,9.413723828959257744e+00,9.223999131224012160e+00,9.401896293510288771e+00,9.263562157436743050e+00,9.393756043498092012e+00,9.273626324268908760e+00,9.379682852748935318e+00,9.276994490823774697e+00,9.365342842765198128e+00,9.295952703386575422e+00,9.368975504896379647e+00,9.939569748426491103e+00,9.939569748426491103e-02,1.000078882000000036e+01
9.588515617504400623e-01,2.335340212153225181e+00,9.621585714536162737e-01,6.128077339126831724e+00,3.500000000000000000e+00,5.500000000000000000e+00,2.787247002515683025e+00,4.781911625126000764e+00,4.207303075881759113e+00,4.663668951384564387e+00,4.621414882356075893e+00,4.591070773602853983e+00,4.646978166857863357e+00,4.533243543879462933e+00,4.663400017328589442e+00,4.495791186841136877e+00,4.670814532252269835e+00,4.466585831050268851e+00,4.673632424712106825e+00,4.666847108688367385e+00,8.956289274134014988e+00,8.956289274134014711e-02,4.594556464000000062e+00
2.519156826416057537e+00,3.546788703067944581e+00,5.212917393121134779e-01,1.135319976580814183e+00,3.500000000000000000e+00,5.500000000000000000e+00,0.000000000000000000e+00,-2.923209631972514836e-16,0.000000000000000000e+00,3.670106532711967656e-04,3.024551995179841418e-04,1.044300467318961726e-04,3.149228340393126890e-04,3.681115235247357830e-04,1.932795471293395054e-04,3.164769317475021751e-04,3.293198521154993728e-04,1.938030317531958988e-04,3.542717546080301119e-04,4.954914707045965329e-04,2.888096981503746052e-02,2.888096981503745944e-04,3.916160982999999885e-04
-5.147869729597254196e-01,-2.812975217815489870e-01,5.846038138308770060e-01,3.111654069551328394e+00,3.500000000000000000e+00,5.500000000000000000e+00,7.658738090173128121e+00,9.298631904718773100e+00,8.811573627129881459e+00,9.253227924131062210e+00,9.107104749270469313e+00,9.278447031854192062e+00,9.123581502877062377e+00,9.280738986295471449e+00,9.118302629339304133e+00,9.267868593277439615e+00,9.147832165453197106e+00,9.250783374156362981e+00,9.170659553430455802e+00,9.293271093225650148e+00,6.174318430418975545e+00,6.174318430418975628e-02,1.076323520999999950e+01
